date,price,currency,airline,stops,duration_min,departure,arrival,origin,destination,scraped_at,source,date_str,day_of_week,days_until_dep,is_direct,duration_h,month,week
2026-03-21,143.0,EUR,Iberia,0,105,2026-03-21 09:15:00,2026-03-21 12:00:00,CMN,MAD,2026-03-13 16:19:05.400936,unified-search,260321,Saturday,8,1,1.75,3,12
2026-03-21,143.0,EUR,Iberia,0,105,2026-03-21 15:20:00,2026-03-21 18:05:00,CMN,MAD,2026-03-13 16:19:05.400936,unified-search,260321,Saturday,8,1,1.75,3,12
2026-03-21,222.99,EUR,Royal Air Maroc,0,105,2026-03-21 12:45:00,2026-03-21 15:30:00,CMN,MAD,2026-03-13 16:19:05.400936,unified-search,260321,Saturday,8,1,1.75,3,12
2026-03-21,739.97,EUR,Qatar Airways,0,105,2026-03-21 12:45:00,2026-03-21 15:30:00,CMN,MAD,2026-03-13 16:19:05.400936,unified-search,260321,Saturday,8,1,1.75,3,12
2026-03-21,108.97,EUR,TAP Air Portugal,1,400,2026-03-21 15:50:00,2026-03-21 23:30:00,CMN,MAD,2026-03-13 16:19:05.400936,unified-search,260321,Saturday,8,0,6.67,3,12
2026-03-21,108.97,EUR,TAP Air Portugal,1,480,2026-03-21 11:20:00,2026-03-21 20:20:00,CMN,MAD,2026-03-13 16:19:05.400936,unified-search,260321,Saturday,8,0,8.0,3,12
2026-03-22,96.97,EUR,Air Arabia Maroc,0,105,2026-03-22 20:05:00,2026-03-22 21:50:00,CMN,MAD,2026-03-13 16:19:16.543550,unified-search,260322,Sunday,9,1,1.75,3,12
2026-03-22,120.26,EUR,Iberia,0,105,2026-03-22 18:55:00,2026-03-22 20:40:00,CMN,MAD,2026-03-13 16:19:16.543550,unified-search,260322,Sunday,9,1,1.75,3,12
2026-03-22,171.82,EUR,Iberia,0,105,2026-03-22 13:45:00,2026-03-22 15:30:00,CMN,MAD,2026-03-13 16:19:16.543550,unified-search,260322,Sunday,9,1,1.75,3,12
2026-03-22,170.99,EUR,Iberia,0,105,2026-03-22 10:15:00,2026-03-22 12:00:00,CMN,MAD,2026-03-13 16:19:16.543550,unified-search,260322,Sunday,9,1,1.75,3,12
2026-03-22,199.99,EUR,Royal Air Maroc,0,105,2026-03-22 10:15:00,2026-03-22 12:00:00,CMN,MAD,2026-03-13 16:19:16.543550,unified-search,260322,Sunday,9,1,1.75,3,12
2026-03-22,182.0,EUR,Vueling Airlines,0,105,2026-03-22 13:45:00,2026-03-22 15:30:00,CMN,MAD,2026-03-13 16:19:16.543550,unified-search,260322,Sunday,9,1,1.75,3,12
2026-03-22,151.0,EUR,Vueling Airlines,0,105,2026-03-22 18:55:00,2026-03-22 20:40:00,CMN,MAD,2026-03-13 16:19:16.543550,unified-search,260322,Sunday,9,1,1.75,3,12
2026-03-22,332.0,EUR,Royal Air Maroc,0,105,2026-03-22 13:45:00,2026-03-22 15:30:00,CMN,MAD,2026-03-13 16:19:16.543550,unified-search,260322,Sunday,9,1,1.75,3,12
2026-03-22,291.0,EUR,Royal Air Maroc,0,105,2026-03-22 16:20:00,2026-03-22 18:05:00,CMN,MAD,2026-03-13 16:19:16.543550,unified-search,260322,Sunday,9,1,1.75,3,12
2026-03-22,353.97,EUR,Iberia,0,105,2026-03-22 16:20:00,2026-03-22 18:05:00,CMN,MAD,2026-03-13 16:19:16.543550,unified-search,260322,Sunday,9,1,1.75,3,12
2026-03-23,99.0,EUR,Iberia,0,105,2026-03-23 18:55:00,2026-03-23 20:40:00,CMN,MAD,2026-03-13 16:19:26.883428,unified-search,260323,Monday,10,1,1.75,3,13
2026-03-23,144.99,EUR,Royal Air Maroc,0,105,2026-03-23 16:20:00,2026-03-23 18:05:00,CMN,MAD,2026-03-13 16:19:26.883428,unified-search,260323,Monday,10,1,1.75,3,13
2026-03-23,253.0,EUR,Royal Air Maroc,0,105,2026-03-23 10:15:00,2026-03-23 12:00:00,CMN,MAD,2026-03-13 16:19:26.883428,unified-search,260323,Monday,10,1,1.75,3,13
2026-03-23,196.1,EUR,Iberia,0,105,2026-03-23 13:45:00,2026-03-23 15:30:00,CMN,MAD,2026-03-13 16:19:26.883428,unified-search,260323,Monday,10,1,1.75,3,13
2026-03-23,102.0,EUR,Vueling Airlines,0,105,2026-03-23 18:55:00,2026-03-23 20:40:00,CMN,MAD,2026-03-13 16:19:26.883428,unified-search,260323,Monday,10,1,1.75,3,13
2026-03-23,265.0,EUR,Iberia,0,105,2026-03-23 10:15:00,2026-03-23 12:00:00,CMN,MAD,2026-03-13 16:19:26.883428,unified-search,260323,Monday,10,1,1.75,3,13
2026-03-23,218.0,EUR,Vueling Airlines,0,105,2026-03-23 13:45:00,2026-03-23 15:30:00,CMN,MAD,2026-03-13 16:19:26.883428,unified-search,260323,Monday,10,1,1.75,3,13
2026-03-23,327.62,EUR,Royal Air Maroc,0,105,2026-03-23 13:45:00,2026-03-23 15:30:00,CMN,MAD,2026-03-13 16:19:26.883428,unified-search,260323,Monday,10,1,1.75,3,13
2026-03-23,166.99,EUR,Iberia,0,105,2026-03-23 16:20:00,2026-03-23 18:05:00,CMN,MAD,2026-03-13 16:19:26.883428,unified-search,260323,Monday,10,1,1.75,3,13
2026-03-23,223.99,EUR,Royal Air Maroc,0,105,2026-03-23 18:55:00,2026-03-23 20:40:00,CMN,MAD,2026-03-13 16:19:26.883428,unified-search,260323,Monday,10,1,1.75,3,13
2026-03-24,69.96,EUR,Air Arabia Maroc,0,105,2026-03-24 18:55:00,2026-03-24 20:40:00,CMN,MAD,2026-03-13 16:19:39.062820,unified-search,260324,Tuesday,11,1,1.75,3,13
2026-03-24,113.97,EUR,Iberia,0,105,2026-03-24 13:45:00,2026-03-24 15:30:00,CMN,MAD,2026-03-13 16:19:39.062820,unified-search,260324,Tuesday,11,1,1.75,3,13
2026-03-24,155.37,EUR,Royal Air Maroc,0,105,2026-03-24 16:20:00,2026-03-24 18:05:00,CMN,MAD,2026-03-13 16:19:39.062820,unified-search,260324,Tuesday,11,1,1.75,3,13
2026-03-24,121.0,EUR,Vueling Airlines,0,105,2026-03-24 13:45:00,2026-03-24 15:30:00,CMN,MAD,2026-03-13 16:19:39.062820,unified-search,260324,Tuesday,11,1,1.75,3,13
2026-03-24,252.0,EUR,Royal Air Maroc,0,105,2026-03-24 13:45:00,2026-03-24 15:30:00,CMN,MAD,2026-03-13 16:19:39.062820,unified-search,260324,Tuesday,11,1,1.75,3,13
