date,price,currency,airline,stops,duration_min,departure,arrival,origin,destination,scraped_at,source
260320,81.0,EUR,Vueling Airlines,0,105,2026-03-20T17:55:00,2026-03-20T20:40:00,CMN,MAD,2026-03-13T16:18:53.828847,unified-search
260320,147.0,EUR,Royal Air Maroc,0,105,2026-03-20T15:20:00,2026-03-20T18:05:00,CMN,MAD,2026-03-13T16:18:53.828847,unified-search
260320,143.0,EUR,Iberia,0,105,2026-03-20T15:20:00,2026-03-20T18:05:00,CMN,MAD,2026-03-13T16:18:53.828847,unified-search
260320,200.0,EUR,Royal Air Maroc,0,105,2026-03-20T09:15:00,2026-03-20T12:00:00,CMN,MAD,2026-03-13T16:18:53.828847,unified-search
260320,207.0,EUR,Royal Air Maroc,0,105,2026-03-20T12:45:00,2026-03-20T15:30:00,CMN,MAD,2026-03-13T16:18:53.828847,unified-search
260320,193.99,EUR,Royal Air Maroc,0,105,2026-03-20T17:55:00,2026-03-20T20:40:00,CMN,MAD,2026-03-13T16:18:53.828847,unified-search
260320,102.0,EUR,Vueling Airlines,0,105,2026-03-20T12:45:00,2026-03-20T15:30:00,CMN,MAD,2026-03-13T16:18:53.828847,unified-search
260321,99.97,EUR,Iberia,0,105,2026-03-21T12:45:00,2026-03-21T15:30:00,CMN,MAD,2026-03-13T16:19:05.400936,unified-search
260321,146.99,EUR,Royal Air Maroc,0,105,2026-03-21T15:20:00,2026-03-21T18:05:00,CMN,MAD,2026-03-13T16:19:05.400936,unified-search
260321,146.99,EUR,Royal Air Maroc,0,105,2026-03-21T09:15:00,2026-03-21T12:00:00,CMN,MAD,2026-03-13T16:19:05.400936,unified-search
260321,100.0,EUR,Vueling Airlines,0,105,2026-03-21T12:45:00,2026-03-21T15:30:00,CMN,MAD,2026-03-13T16:19:05.400936,unified-search
260321,143.0,EUR,Iberia,0,105,2026-03-21T09:15:00,2026-03-21T12:00:00,CMN,MAD,2026-03-13T16:19:05.400936,unified-search
260321,143.0,EUR,Iberia,0,105,2026-03-21T15:20:00,2026-03-21T18:05:00,CMN,MAD,2026-03-13T16:19:05.400936,unified-search
260321,222.99,EUR,Royal Air Maroc,0,105,2026-03-21T12:45:00,2026-03-21T15:30:00,CMN,MAD,2026-03-13T16:19:05.400936,unified-search
260321,739.97,EUR,Qatar Airways,0,105,2026-03-21T12:45:00,2026-03-21T15:30:00,CMN,MAD,2026-03-13T16:19:05.400936,unified-search
260321,108.97,EUR,TAP Air Portugal,1,400,2026-03-21T15:50:00,2026-03-21T23:30:00,CMN,MAD,2026-03-13T16:19:05.400936,unified-search
260321,108.97,EUR,TAP Air Portugal,1,480,2026-03-21T11:20:00,2026-03-21T20:20:00,CMN,MAD,2026-03-13T16:19:05.400936,unified-search
260322,96.97,EUR,Air Arabia Maroc,0,105,2026-03-22T20:05:00,2026-03-22T21:50:00,CMN,MAD,2026-03-13T16:19:16.543550,unified-search
260322,120.26,EUR,Iberia,0,105,2026-03-22T18:55:00,2026-03-22T20:40:00,CMN,MAD,2026-03-13T16:19:16.543550,unified-search
260322,171.82,EUR,Iberia,0,105,2026-03-22T13:45:00,2026-03-22T15:30:00,CMN,MAD,2026-03-13T16:19:16.543550,unified-search
260322,170.99,EUR,Iberia,0,105,2026-03-22T10:15:00,2026-03-22T12:00:00,CMN,MAD,2026-03-13T16:19:16.543550,unified-search
260322,199.99,EUR,Royal Air Maroc,0,105,2026-03-22T10:15:00,2026-03-22T12:00:00,CMN,MAD,2026-03-13T16:19:16.543550,unified-search
260322,182.0,EUR,Vueling Airlines,0,105,2026-03-22T13:45:00,2026-03-22T15:30:00,CMN,MAD,2026-03-13T16:19:16.543550,unified-search
260322,151.0,EUR,Vueling Airlines,0,105,2026-03-22T18:55:00,2026-03-22T20:40:00,CMN,MAD,2026-03-13T16:19:16.543550,unified-search
260322,332.0,EUR,Royal Air Maroc,0,105,2026-03-22T13:45:00,2026-03-22T15:30:00,CMN,MAD,2026-03-13T16:19:16.543550,unified-search
260322,291.0,EUR,Royal Air Maroc,0,105,2026-03-22T16:20:00,2026-03-22T18:05:00,CMN,MAD,2026-03-13T16:19:16.543550,unified-search
260322,353.97,EUR,Iberia,0,105,2026-03-22T16:20:00,2026-03-22T18:05:00,CMN,MAD,2026-03-13T16:19:16.543550,unified-search
260323,99.0,EUR,Iberia,0,105,2026-03-23T18:55:00,2026-03-23T20:40:00,CMN,MAD,2026-03-13T16:19:26.883428,unified-search
260323,144.99,EUR,Royal Air Maroc,0,105,2026-03-23T16:20:00,2026-03-23T18:05:00,CMN,MAD,2026-03-13T16:19:26.883428,unified-search
260323,253.0,EUR,Royal Air Maroc,0,105,2026-03-23T10:15:00,2026-03-23T12:00:00,CMN,MAD,2026-03-13T16:19:26.883428,unified-search
260323,196.1,EUR,Iberia,0,105,2026-03-23T13:45:00,2026-03-23T15:30:00,CMN,MAD,2026-03-13T16:19:26.883428,unified-search
260323,102.0,EUR,Vueling Airlines,0,105,2026-03-23T18:55:00,2026-03-23T20:40:00,CMN,MAD,2026-03-13T16:19:26.883428,unified-search
260323,265.0,EUR,Iberia,0,105,2026-03-23T10:15:00,2026-03-23T12:00:00,CMN,MAD,2026-03-13T16:19:26.883428,unified-search
260323,218.0,EUR,Vueling Airlines,0,105,2026-03-23T13:45:00,2026-03-23T15:30:00,CMN,MAD,2026-03-13T16:19:26.883428,unified-search
260323,327.62,EUR,Royal Air Maroc,0,105,2026-03-23T13:45:00,2026-03-23T15:30:00,CMN,MAD,2026-03-13T16:19:26.883428,unified-search
260323,166.99,EUR,Iberia,0,105,2026-03-23T16:20:00,2026-03-23T18:05:00,CMN,MAD,2026-03-13T16:19:26.883428,unified-search
260323,223.99,EUR,Royal Air Maroc,0,105,2026-03-23T18:55:00,2026-03-23T20:40:00,CMN,MAD,2026-03-13T16:19:26.883428,unified-search
260324,69.96,EUR,Air Arabia Maroc,0,105,2026-03-24T18:55:00,2026-03-24T20:40:00,CMN,MAD,2026-03-13T16:19:39.062820,unified-search
260324,113.97,EUR,Iberia,0,105,2026-03-24T13:45:00,2026-03-24T15:30:00,CMN,MAD,2026-03-13T16:19:39.062820,unified-search
260324,155.37,EUR,Royal Air Maroc,0,105,2026-03-24T16:20:00,2026-03-24T18:05:00,CMN,MAD,2026-03-13T16:19:39.062820,unified-search
260324,121.0,EUR,Vueling Airlines,0,105,2026-03-24T13:45:00,2026-03-24T15:30:00,CMN,MAD,2026-03-13T16:19:39.062820,unified-search
260324,252.0,EUR,Royal Air Maroc,0,105,2026-03-24T13:45:00,2026-03-24T15:30:00,CMN,MAD,2026-03-13T16:19:39.062820,unified-search
260324,215.97,EUR,Iberia,0,105,2026-03-24T16:20:00,2026-03-24T18:05:00,CMN,MAD,2026-03-13T16:19:39.062820,unified-search
260324,767.97,EUR,Qatar Airways,0,105,2026-03-24T13:45:00,2026-03-24T15:30:00,CMN,MAD,2026-03-13T16:19:39.062820,unified-search
260324,182.0,EUR,Royal Air Maroc,1,260,2026-03-24T11:10:00,2026-03-24T15:30:00,CMN,MAD,2026-03-13T16:19:39.062820,unified-search
260324,151.0,EUR,Royal Air Maroc,1,285,2026-03-24T16:35:00,2026-03-24T21:20:00,CMN,MAD,2026-03-13T16:19:39.062820,unified-search
260324,137.0,EUR,TAP Air Portugal,1,270,2026-03-24T16:50:00,2026-03-24T21:20:00,CMN,MAD,2026-03-13T16:19:39.062820,unified-search
